year,round,raceName,date,circuitName,country,location,lat,lng
1950,1,British Grand Prix,1950-05-13,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1950,2,Monaco Grand Prix,1950-05-21,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194
1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1950,6,French Grand Prix,1950-07-02,Reims-Gueux,France,Reims,49.2542,3.93083
1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194
1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1951,4,French Grand Prix,1951-07-01,Reims-Gueux,France,Reims,49.2542,3.93083
1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1951,6,German Grand Prix,1951-07-29,Nürburgring,Germany,Nürburg,50.3356,6.9475
1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,Spain,Barcelona,41.3903,2.11667
1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194
1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,France,Rouen,49.3306,1.00458
1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1952,6,German Grand Prix,1952-08-03,Nürburgring,Germany,Nürburg,50.3356,6.9475
1952,7,Dutch Grand Prix,1952-08-17,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
1952,8,Italian Grand Prix,1952-09-07,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1953,1,Argentine Grand Prix,1953-01-18,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1953,2,Indianapolis 500,1953-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1953,3,Dutch Grand Prix,1953-06-07,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
